,Unnamed: 1,S:Max Principal P,S:Mid Principal P,S:Min Principal P,Unnamed: 9,Unnamed: 10
166,569.872E-03,1.97703E+03,907.638,222.334,676.156E-03,240.09E-03
167,582.805E-03,1.98958E+03,924.242,230.896,683.169E-03,232.079E-03
168,595.846E-03,2.00203E+03,940.62,239.499,690.126E-03,224.361E-03
169,609.292E-03,2.01465E+03,957.142,248.318,697.178E-03,216.737E-03
170,623.173E-03,2.02745E+03,973.994,257.337,704.364E-03,208.966E-03
171,637.507E-03,2.04067E+03,991.054,266.839,711.768E-03,201.526E-03
172,652.325E-03,2.05398E+03,1.00829E+03,276.45,719.227E-03,194.024E-03
173,667.553E-03,2.06734E+03,1.02547E+03,286.18,726.696E-03,186.724E-03
174,683.875E-03,2.0816E+03,1.04358E+03,296.72,734.664E-03,179.343E-03
175,701.326E-03,2.09644E+03,1.06234E+03,307.752,742.933E-03,171.836E-03
176,719.278E-03,2.11145E+03,1.0812E+03,319.02,751.288E-03,164.5E-03
177,737.747E-03,2.12675E+03,1.10008E+03,330.657,759.772E-03,157.564E-03
178,756.678E-03,2.14223E+03,1.11902E+03,342.543,768.343E-03,150.851E-03
179,776.078E-03,2.158E+03,1.13783E+03,354.834,777.024E-03,144.758E-03
180,795.96E-03,2.17388E+03,1.15671E+03,367.264,785.752E-03,138.735E-03
181,816.457E-03,2.18993E+03,1.17545E+03,379.943,794.518E-03,133.186E-03
182,839.277E-03,2.20742E+03,1.19587E+03,393.798,804.06E-03,127.161E-03
183,861.304E-03,2.22448E+03,1.21524E+03,407.529,813.33E-03,122.126E-03
184,884.285E-03,2.24189E+03,1.23485E+03,421.608,822.757E-03,117.229E-03
185,908.24E-03,2.25976E+03,1.25463E+03,436.159,832.375E-03,112.712E-03
186,933.187E-03,2.27849E+03,1.27477E+03,451.625,842.415E-03,108.846E-03
187,959.343E-03,2.29832E+03,1.29624E+03,468.104,853.107E-03,104.668E-03
188,988.602E-03,2.32086E+03,1.31993E+03,487.113,865.228E-03,100.97E-03
189,1.01804,2.34389E+03,1.34376E+03,506.753,877.619E-03,97.8044E-03
190,1.04743,2.36694E+03,1.36745E+03,526.536,890.024E-03,94.9177E-03
191,1.0767,2.38942E+03,1.39056E+03,545.867,902.106E-03,92.1211E-03
192,1.10652,2.41215E+03,1.41362E+03,565.518,914.28E-03,89.7474E-03
193,1.13796,2.43573E+03,1.43767E+03,585.925,926.912E-03,87.1462E-03
194,1.16918,2.45792E+03,1.46041E+03,605.039,938.722E-03,84.5132E-03
195,1.19973,2.47843E+03,1.4814E+03,622.622,949.537E-03,82.073E-03
196,1.22952,2.49794E+03,1.50123E+03,639.373,959.778E-03,79.9319E-03
197,1.25806,2.5165E+03,1.51999E+03,655.366,969.509E-03,78.0628E-03
198,1.28616,2.5341E+03,1.53782E+03,670.489,978.691E-03,76.2148E-03
199,1.31742,2.5517E+03,1.55596E+03,685.354,987.731E-03,73.8476E-03
200,1.34773,2.56652E+03,1.57145E+03,697.545,995.138E-03,71.3883E-03
201,1.37692,2.58038E+03,1.58558E+03,708.989,1.00199,69.5457E-03
202,1.40509,2.59375E+03,1.59902E+03,720.096,1.0086,68.031E-03
203,1.43238,2.60668E+03,1.61194E+03,730.889,1.01499,66.7102E-03
204,1.45906,2.61904E+03,1.62427E+03,741.199,1.02107,65.4787E-03
205,1.4872,2.63167E+03,1.63717E+03,751.658,1.02728,63.8087E-03
206,1.51615,2.64242E+03,1.64862E+03,760.138,1.03236,61.5849E-03
207,1.54419,2.64848E+03,1.65611E+03,763.918,1.0347,58.4956E-03
208,1.57121,2.65286E+03,1.66133E+03,766.223,1.03602,56.2324E-03
209,1.59709,2.65667E+03,1.66558E+03,768.128,1.03704,54.5378E-03
210,1.62227,2.661E+03,1.66995E+03,770.692,1.03838,53.401E-03
211,1.64647,2.66523E+03,1.67414E+03,773.265,1.03972,52.4408E-03
212,1.66996,2.66976E+03,1.67856E+03,776.21,1.04128,51.5993E-03
213,1.69493,2.67429E+03,1.68299E+03,779.077,1.04278,50.716E-03
214,1.72117,2.67914E+03,1.68771E+03,782.21,1.04442,49.8472E-03
215,1.74677,2.68282E+03,1.69126E+03,784.25,1.04541,49.0264E-03
216,1.77113,2.68541E+03,1.69394E+03,785.253,1.04582,47.9714E-03
217,1.79503,2.68543E+03,1.69491E+03,783.589,1.04479,45.8677E-03
